Year,National Health Expenditures,Health Consumption Expenditures,Total,Hospital Care,Physician and Clinical Services,Other Professional Services,Dental Services,Other Health Residential and Personal,Home Health Care,Nursing Care,Prescription Drugs,Durable Medical Equipment,Other Non-Durable Equipment
1990-01-01,724.02274328245,675.33626962928,616.59933482971,250.4393537596,158.94951903702,17.408369,31.52133775,24.321893248188,12.566923868,44.890344176294,40.290335375852,13.765258614759,22.446
1989-12-31,647.20541136975,603.22889215381,551.40679707494,225.96648875422,143.29480940922,14.597291,29.315771,21.859236144627,10.237663171,38.672526323708,34.757464575164,11.886546697006,20.819
1989-01-01,647.20541136975,603.22889215381,551.40679707494,225.96648875422,143.29480940922,14.597291,29.315771,21.859236144627,10.237663171,38.672526323708,34.757464575164,11.886546697006,20.819
1988-12-31,581.46999493741,541.30226731908,499.3143929748,206.45821649815,128.63623633437,13.804581,27.343489,19.220553171239,8.4263126420001,34.324709975798,30.645680843301,11.078613509954,19.376
1988-01-01,581.46999493741,541.30226731908,499.3143929748,206.45821649815,128.63623633437,13.804581,27.343489,19.220553171239,8.4263126420001,34.324709975798,30.645680843301,11.078613509954,19.376
1987-12-31,518.88463427539,482.893438462,448.33027001553,189.53988685162,112.91402992233,11.388961,25.27595725,17.199892251029,6.6598414939999,30.73102690689,26.888370246277,9.4673040933885,18.265
1987-01-01,518.88463427539,482.893438462,448.33027001553,189.53988685162,112.91402992233,11.388961,25.27595725,17.199892251029,6.6598414939999,30.73102690689,26.888370246277,9.4673040933885,18.265
1986-12-31,476.70490968027,444.19826525802,409.36560689961,175.67202532008,100.70729372386,9.325757,23.124751483389,16.017986249318,6.3879543979998,28.711707759048,24.290152103172,8.0649788627442,17.063
1986-01-01,476.70490968027,444.19826525802,409.36560689961,175.67202532008,100.70729372386,9.325757,23.124751483389,16.017986249318,6.3879543979998,28.711707759048,24.290152103172,8.0649788627442,17.063
1985-12-31,444.40451137333,413.16308706686,376.75808894831,164.5923635366,90.849743884856,8.143104,21.665576758793,14.801494598693,5.647268085,26.253451313758,21.794732417033,7.0553543535816,15.955
1985-01-01,444.40451137333,413.16308706686,376.75808894831,164.5923635366,90.849743884856,8.143104,21.665576758793,14.801494598693,5.647268085,26.253451313758,21.794732417033,7.0553543535816,15.955
1984-12-31,406.32840423018,375.33202453834,341.91196127097,154.3616003349,77.419327302693,7.349904,19.84833171752,13.319673039941,5.1290171020001,23.749713504866,19.617297076152,6.1410971929037,14.976
1984-01-01,406.32840423018,375.33202453834,341.91196127097,154.3616003349,77.419327302693,7.349904,19.84833171752,13.319673039941,5.1290171020001,23.749713504866,19.617297076152,6.1410971929037,14.976
1983-12-31,368.82856800196,339.56726834762,311.83901223217,144.7448912042,68.653268991207,5.66335,18.28515772281,12.22544532588,4.2373493469999,21.700979838945,17.323028557138,5.2505412449901,13.755
1983-01-01,368.82856800196,339.56726834762,311.83901223217,144.7448912042,68.653268991207,5.66335,18.28515772281,12.22544532588,4.2373493469999,21.700979838945,17.323028557138,5.2505412449901,13.755
1982-12-31,334.5704526059,308.16162254889,283.23028733647,133.64691915958,61.618213779762,4.924431,16.966277181808,10.918704562093,3.482386939,19.4937929974,15.028999999919,4.5695617169104,12.581
1982-01-01,334.5704526059,308.16162254889,283.23028733647,133.64691915958,61.618213779762,4.924431,16.966277181808,10.918704562093,3.482386939,19.4937929974,15.028999999919,4.5695617169104,12.581
1981-12-31,296.6115954207,273.5243218459,251.92263707112,117.48020869118,55.601482718277,4.27583,15.70945519694,9.5510546854085,2.9381283510001,17.342580419416,13.397999999665,4.3298970092265,11.296
1981-01-01,296.6115954207,273.5243218459,251.92263707112,117.48020869118,55.601482718277,4.27583,15.70945519694,9.5510546854085,2.9381283510001,17.342580419416,13.397999999665,4.3298970092265,11.296
1980-12-31,255.68293171139,235.5802262948,217.10231534108,100.51677638541,47.715300018054,3.478186,13.333174088291,8.5073402875465,2.378061153,15.269635058663,12.04899999968,4.0538423504308,9.801
